Stranding ID,Period,Season,Condition,INOFF,LatDD,LongDD,SCL (cm),SizeClass,Number of Trash Items,Mass of Trash Items
19890210JXB04,1987-1999,Winter,Fresh Dead,Inshore,27.14666667,-97.43833333,37.9,Transitional,0,0
19890207JXG02,1987-1999,Winter,Fresh Dead,Inshore,26.06166667,-97.15833333,38,Transitional,0,0
19890103DXH01,1987-1999,Winter,Fresh Dead,Inshore,26.07,-97.16,40.1,Transitional,2,0.09
19891221DLH01,1987-1999,Winter,Fresh Dead,Inshore,26.08833333,-97.166034,45.5,Subadult,0,0
19890210JXB05,1987-1999,Winter,Fresh Dead,Inshore,27.13333333,-97.43833333,50.9,Subadult,0,0
19891223CXM01,1987-1999,Winter,Fresh Dead,Inshore,27.75,-97.375,53.959,Subadult,4,0.1
19890210JXB06,1987-1999,Winter,Fresh Dead,Inshore,27.05833333,-97.44333333,54.1,Subadult,1,0.01
19890210JXB02,1987-1999,Winter,Fresh Dead,Inshore,27.155,-97.43833333,58.1,Subadult,0,0
19890208DXH01,1987-1999,Winter,Fresh Dead,Inshore,26.47166667,-97.40166667,NA,NA,0,0
19890207JXG01,1987-1999,Winter,Fresh Dead,Inshore,26.06166667,-97.15833333,NA,NA,2,0.001
19900102DLH01,1987-1999,Winter,Fresh Dead,Inshore,26.09666667,-97.168606,31.2,Recruit,0,0
19900111DXB01,1987-1999,Winter,Fresh Dead,Inshore,27.7,-97.25,43.6,Transitional,0,0
19920519AFA01,1987-1999,Spring,Fresh Dead,Inshore,27.8345,-97.045,29.6,Recruit,23,0.58
19930421PXE01,1987-1999,Spring,Fresh Dead,Inshore,27.79,-97.39,30.3,Recruit,21,0.54
